"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 21 19:30:57 GMT 2022","Mon Nov 21 19:30:57 GMT 2022","69","","Testes de unidade - Book Service","","com.peixoto.api.services.BookServiceTest","findALL_shouldReturnAllBooks","Deve retornar todos os livros",""
"passed","Mon Nov 21 19:32:00 GMT 2022","Mon Nov 21 19:32:02 GMT 2022","1655","","Testes de integração - Livros - Após as correções","","com.peixoto.api.BookIntegrationReviwedTest","t3","Deve inserir um novo livro com sucesso",""
"passed","Mon Nov 21 19:31:54 GMT 2022","Mon Nov 21 19:31:58 GMT 2022","3808","","Testes de integração - Livros - Após as correções","","com.peixoto.api.BookIntegrationReviwedTest","t1","Deve buscar livro pelo id com sucesso",""
"passed","Mon Nov 21 19:32:02 GMT 2022","Mon Nov 21 19:32:02 GMT 2022","51","","Testes de integração - Livros - Antes de correções","","com.peixoto.api.BookIntegrationTest","t2","t2()",""
"passed","Mon Nov 21 19:30:57 GMT 2022","Mon Nov 21 19:30:57 GMT 2022","21","","Testes de unidade - Book Service","","com.peixoto.api.services.BookServiceTest","findById_shouldThrowBadRequestException","Deve lançar exceção ao buscar um livro que não existe",""
"passed","Mon Nov 21 19:31:58 GMT 2022","Mon Nov 21 19:32:00 GMT 2022","2011","","Testes de integração - Livros - Após as correções","","com.peixoto.api.BookIntegrationReviwedTest","t2","Deve buscar todos os livros cadastrados com sucesso",""
"passed","Mon Nov 21 19:30:55 GMT 2022","Mon Nov 21 19:30:57 GMT 2022","1603","","Testes de unidade - Book Service","","com.peixoto.api.services.BookServiceTest","remove_shouldThrowException_whenBookNotExists","Deve lançar exceção ao tentar remover livro que não existe",""
"passed","Mon Nov 21 19:32:02 GMT 2022","Mon Nov 21 19:32:02 GMT 2022","90","","Testes de integração - Livros - Antes de correções","","com.peixoto.api.BookIntegrationTest","t1","t1()",""
"passed","Mon Nov 21 19:30:57 GMT 2022","Mon Nov 21 19:30:57 GMT 2022","16","","Testes de unidade - Book Service","","com.peixoto.api.services.BookServiceTest","remove_shouldRemoveBook","Deve remover livro com sucesso",""
"passed","Mon Nov 21 19:30:57 GMT 2022","Mon Nov 21 19:30:57 GMT 2022","6","","Testes de unidade - Book Service","","com.peixoto.api.services.BookServiceTest","findALL_shouldThrowException_whenThereIsNoBooks","Deve lançar exceção ao buscar livros (busca por todos)",""
"passed","Mon Nov 21 19:30:57 GMT 2022","Mon Nov 21 19:30:57 GMT 2022","177","","Testes de Unidade - User Details Service","","com.peixoto.api.services.UserDetailServiceTest","loadUserByUsername_shouldReturnUsername","Deve retornar o usuário buscado",""
"passed","Mon Nov 21 19:32:02 GMT 2022","Mon Nov 21 19:32:02 GMT 2022","67","","Testes de integração - Livros - Antes de correções","","com.peixoto.api.BookIntegrationTest","t3","t3()",""
"passed","Mon Nov 21 19:30:57 GMT 2022","Mon Nov 21 19:30:57 GMT 2022","7","","Testes de Unidade - User Details Service","","com.peixoto.api.services.UserDetailServiceTest","loadUserByUsername_shouldThrowUsernameNotFoundException","Deve lançar exceção caso o usuário procurado não existir",""
