"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Nov 21 19:49:14 GMT 2022","Mon Nov 21 19:49:14 GMT 2022","0","","Testes de integração - Livros - Após as correções","","com.peixoto.api.BookIntegrationReviwedTest","t2","Deve buscar todos os livros cadastrados com sucesso",""
"failed","Mon Nov 21 19:49:34 GMT 2022","Mon Nov 21 19:49:34 GMT 2022","246","","Testes de integração - Livros - Antes de correções","","com.peixoto.api.BookIntegrationTest","t3","t3()",""
"passed","Mon Nov 21 19:48:51 GMT 2022","Mon Nov 21 19:48:51 GMT 2022","85","","Testes de Unidade - User Details Service","","com.peixoto.api.services.UserDetailServiceTest","loadUserByUsername_shouldReturnUsername","Deve retornar o usuário buscado",""
"passed","Mon Nov 21 19:48:51 GMT 2022","Mon Nov 21 19:48:51 GMT 2022","23","","Testes de unidade - Book Service","","com.peixoto.api.services.BookServiceTest","findById_shouldThrowBadRequestException","Deve lançar exceção ao buscar um livro que não existe",""
"passed","Mon Nov 21 19:48:51 GMT 2022","Mon Nov 21 19:48:51 GMT 2022","10","","Testes de unidade - Book Service","","com.peixoto.api.services.BookServiceTest","remove_shouldRemoveBook","Deve remover livro com sucesso",""
"passed","Mon Nov 21 19:49:33 GMT 2022","Mon Nov 21 19:49:34 GMT 2022","264","","Testes de integração - Livros - Antes de correções","","com.peixoto.api.BookIntegrationTest","t2","t2()",""
"passed","Mon Nov 21 19:48:51 GMT 2022","Mon Nov 21 19:48:51 GMT 2022","2","","Testes de Unidade - User Details Service","","com.peixoto.api.services.UserDetailServiceTest","loadUserByUsername_shouldThrowUsernameNotFoundException","Deve lançar exceção caso o usuário procurado não existir",""
"passed","Mon Nov 21 19:49:31 GMT 2022","Mon Nov 21 19:49:33 GMT 2022","2702","","Testes de integração - Livros - Antes de correções","","com.peixoto.api.BookIntegrationTest","t1","t1()",""
"passed","Mon Nov 21 19:48:51 GMT 2022","Mon Nov 21 19:48:51 GMT 2022","42","","Testes de unidade - Book Service","","com.peixoto.api.services.BookServiceTest","findALL_shouldReturnAllBooks","Deve retornar todos os livros",""
"skipped","Mon Nov 21 19:49:14 GMT 2022","Mon Nov 21 19:49:14 GMT 2022","0","","Testes de integração - Livros - Após as correções","","com.peixoto.api.BookIntegrationReviwedTest","t3","Deve inserir um novo livro com sucesso",""
"passed","Mon Nov 21 19:48:50 GMT 2022","Mon Nov 21 19:48:51 GMT 2022","1082","","Testes de unidade - Book Service","","com.peixoto.api.services.BookServiceTest","remove_shouldThrowException_whenBookNotExists","Deve lançar exceção ao tentar remover livro que não existe",""
"passed","Mon Nov 21 19:48:51 GMT 2022","Mon Nov 21 19:48:51 GMT 2022","10","","Testes de unidade - Book Service","","com.peixoto.api.services.BookServiceTest","findALL_shouldThrowException_whenThereIsNoBooks","Deve lançar exceção ao buscar livros (busca por todos)",""
"skipped","Mon Nov 21 19:49:14 GMT 2022","Mon Nov 21 19:49:14 GMT 2022","2","","Testes de integração - Livros - Após as correções","","com.peixoto.api.BookIntegrationReviwedTest","t1","Deve buscar livro pelo id com sucesso",""
