"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 19 03:30:52 GMT 2022","Sat Nov 19 03:30:52 GMT 2022","6","","Testes de unidade - Book Service","","com.peixoto.api.services.BookServiceTest","findById_shouldThrowBadRequestException","Deve lançar exceção ao buscar um livro que não existe",""
"skipped","Sat Nov 19 03:31:18 GMT 2022","Sat Nov 19 03:31:18 GMT 2022","0","","Testes de integração - Livros - Após as correções","","com.peixoto.api.BookIntegrationReviwedTest","t2","Deve buscar todos os livros cadastrados com sucesso",""
"skipped","Sat Nov 19 03:31:18 GMT 2022","Sat Nov 19 03:31:18 GMT 2022","0","","Testes de integração - Livros - Após as correções","","com.peixoto.api.BookIntegrationReviwedTest","t3","Deve inserir um novo livro com sucesso",""
"passed","Sat Nov 19 03:30:50 GMT 2022","Sat Nov 19 03:30:52 GMT 2022","1506","","Testes de unidade - Book Service","","com.peixoto.api.services.BookServiceTest","remove_shouldThrowException_whenBookNotExists","Deve lançar exceção ao tentar remover livro que não existe",""
"skipped","Sat Nov 19 03:31:18 GMT 2022","Sat Nov 19 03:31:18 GMT 2022","1","","Testes de integração - Livros - Após as correções","","com.peixoto.api.BookIntegrationReviwedTest","t1","Deve buscar livro pelo id com sucesso",""
"passed","Sat Nov 19 03:30:52 GMT 2022","Sat Nov 19 03:30:52 GMT 2022","2","","Testes de unidade - Book Service","","com.peixoto.api.services.BookServiceTest","findALL_shouldThrowException_whenThereIsNoBooks","Deve lançar exceção ao buscar livros (busca por todos)",""
"passed","Sat Nov 19 03:31:37 GMT 2022","Sat Nov 19 03:31:40 GMT 2022","3023","","Testes de integração - Livros - Antes de correções","","com.peixoto.api.BookIntegrationTest","t1","t1()",""
"passed","Sat Nov 19 03:30:52 GMT 2022","Sat Nov 19 03:30:52 GMT 2022","17","","Testes de unidade - Book Service","","com.peixoto.api.services.BookServiceTest","findALL_shouldReturnAllBooks","Deve retornar todos os livros",""
"passed","Sat Nov 19 03:30:52 GMT 2022","Sat Nov 19 03:30:52 GMT 2022","3","","Testes de unidade - Book Service","","com.peixoto.api.services.BookServiceTest","remove_shouldRemoveBook","Deve remover livro com sucesso",""
"passed","Sat Nov 19 03:31:40 GMT 2022","Sat Nov 19 03:31:41 GMT 2022","366","","Testes de integração - Livros - Antes de correções","","com.peixoto.api.BookIntegrationTest","t3","t3()",""
"passed","Sat Nov 19 03:31:40 GMT 2022","Sat Nov 19 03:31:40 GMT 2022","343","","Testes de integração - Livros - Antes de correções","","com.peixoto.api.BookIntegrationTest","t2","t2()",""
"passed","Sat Nov 19 03:30:52 GMT 2022","Sat Nov 19 03:30:52 GMT 2022","149","","Testes de Unidade - User Details Service","","com.peixoto.api.services.UserDetailServiceTest","loadUserByUsername_shouldReturnUsername","Deve retornar o usuário buscado",""
"passed","Sat Nov 19 03:30:52 GMT 2022","Sat Nov 19 03:30:52 GMT 2022","12","","Testes de Unidade - User Details Service","","com.peixoto.api.services.UserDetailServiceTest","loadUserByUsername_shouldThrowUsernameNotFoundException","Deve lançar exceção caso o usuário procurado não existir",""
