"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 15 22:43:23 GMT 2024","Mon Jan 15 22:43:23 GMT 2024","13","","Testes de Unidade - User Details Service","","com.peixoto.api.services.UserDetailServiceTest","loadUserByUsername_shouldThrowUsernameNotFoundException","Deve lançar exceção caso o usuário procurado não existir",""
"passed","Mon Jan 15 22:43:56 GMT 2024","Mon Jan 15 22:43:56 GMT 2024","224","","Testes de integração - Livros - Após as correções","","com.peixoto.api.BookIntegrationReviwedTest","t2","Deve buscar todos os livros cadastrados com sucesso",""
"skipped","Mon Jan 15 22:43:57 GMT 2024","Mon Jan 15 22:43:57 GMT 2024","0","","Testes de integração - Livros - Antes de correções","","com.peixoto.api.BookIntegrationTest","t3","t3()",""
"passed","Mon Jan 15 22:43:56 GMT 2024","Mon Jan 15 22:43:57 GMT 2024","782","","Testes de integração - Livros - Após as correções","","com.peixoto.api.BookIntegrationReviwedTest","t3","Deve inserir um novo livro com sucesso",""
"passed","Mon Jan 15 22:43:22 GMT 2024","Mon Jan 15 22:43:23 GMT 2024","136","","Testes de Unidade - User Details Service","","com.peixoto.api.services.UserDetailServiceTest","loadUserByUsername_shouldReturnUsername","Deve retornar o usuário buscado",""
"passed","Mon Jan 15 22:43:22 GMT 2024","Mon Jan 15 22:43:22 GMT 2024","5","","Testes de unidade - Book Service","","com.peixoto.api.services.BookServiceTest","findById_shouldThrowBadRequestException","Deve lançar exceção ao buscar um livro que não existe",""
"passed","Mon Jan 15 22:43:22 GMT 2024","Mon Jan 15 22:43:22 GMT 2024","17","","Testes de unidade - Book Service","","com.peixoto.api.services.BookServiceTest","findALL_shouldReturnAllBooks","Deve retornar todos os livros",""
"passed","Mon Jan 15 22:43:21 GMT 2024","Mon Jan 15 22:43:22 GMT 2024","896","","Testes de unidade - Book Service","","com.peixoto.api.services.BookServiceTest","remove_shouldThrowException_whenBookNotExists","Deve lançar exceção ao tentar remover livro que não existe",""
"skipped","Mon Jan 15 22:43:57 GMT 2024","Mon Jan 15 22:43:57 GMT 2024","0","","Testes de integração - Livros - Antes de correções","","com.peixoto.api.BookIntegrationTest","t1","t1()",""
"skipped","Mon Jan 15 22:43:57 GMT 2024","Mon Jan 15 22:43:57 GMT 2024","0","","Testes de integração - Livros - Antes de correções","","com.peixoto.api.BookIntegrationTest","t2","t2()",""
"passed","Mon Jan 15 22:43:22 GMT 2024","Mon Jan 15 22:43:22 GMT 2024","3","","Testes de unidade - Book Service","","com.peixoto.api.services.BookServiceTest","remove_shouldRemoveBook","Deve remover livro com sucesso",""
"passed","Mon Jan 15 22:43:53 GMT 2024","Mon Jan 15 22:43:56 GMT 2024","2538","","Testes de integração - Livros - Após as correções","","com.peixoto.api.BookIntegrationReviwedTest","t1","Deve buscar livro pelo id com sucesso",""
"passed","Mon Jan 15 22:43:22 GMT 2024","Mon Jan 15 22:43:22 GMT 2024","5","","Testes de unidade - Book Service","","com.peixoto.api.services.BookServiceTest","findALL_shouldThrowException_whenThereIsNoBooks","Deve lançar exceção ao buscar livros (busca por todos)",""
