"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 21 22:59:37 GMT 2022","Mon Nov 21 22:59:37 GMT 2022","292","","Testes de integração - Livros - Após as correções","","com.peixoto.api.BookIntegrationReviwedTest","t2","Deve buscar todos os livros cadastrados com sucesso",""
"passed","Mon Nov 21 22:58:57 GMT 2022","Mon Nov 21 22:58:57 GMT 2022","6","","Testes de unidade - Book Service","","com.peixoto.api.services.BookServiceTest","findALL_shouldThrowException_whenThereIsNoBooks","Deve lançar exceção ao buscar livros (busca por todos)",""
"skipped","Mon Nov 21 22:59:38 GMT 2022","Mon Nov 21 22:59:38 GMT 2022","0","","Testes de integração - Livros - Antes de correções","","com.peixoto.api.BookIntegrationTest","t1","t1()",""
"passed","Mon Nov 21 22:58:56 GMT 2022","Mon Nov 21 22:58:57 GMT 2022","1044","","Testes de unidade - Book Service","","com.peixoto.api.services.BookServiceTest","remove_shouldThrowException_whenBookNotExists","Deve lançar exceção ao tentar remover livro que não existe",""
"passed","Mon Nov 21 22:58:57 GMT 2022","Mon Nov 21 22:58:57 GMT 2022","8","","Testes de unidade - Book Service","","com.peixoto.api.services.BookServiceTest","remove_shouldRemoveBook","Deve remover livro com sucesso",""
"passed","Mon Nov 21 22:59:33 GMT 2022","Mon Nov 21 22:59:37 GMT 2022","3188","","Testes de integração - Livros - Após as correções","","com.peixoto.api.BookIntegrationReviwedTest","t1","Deve buscar livro pelo id com sucesso",""
"passed","Mon Nov 21 22:58:57 GMT 2022","Mon Nov 21 22:58:57 GMT 2022","142","","Testes de Unidade - User Details Service","","com.peixoto.api.services.UserDetailServiceTest","loadUserByUsername_shouldReturnUsername","Deve retornar o usuário buscado",""
"passed","Mon Nov 21 22:58:57 GMT 2022","Mon Nov 21 22:58:57 GMT 2022","46","","Testes de unidade - Book Service","","com.peixoto.api.services.BookServiceTest","findALL_shouldReturnAllBooks","Deve retornar todos os livros",""
"passed","Mon Nov 21 22:58:57 GMT 2022","Mon Nov 21 22:58:57 GMT 2022","4","","Testes de Unidade - User Details Service","","com.peixoto.api.services.UserDetailServiceTest","loadUserByUsername_shouldThrowUsernameNotFoundException","Deve lançar exceção caso o usuário procurado não existir",""
"passed","Mon Nov 21 22:59:37 GMT 2022","Mon Nov 21 22:59:38 GMT 2022","947","","Testes de integração - Livros - Após as correções","","com.peixoto.api.BookIntegrationReviwedTest","t3","Deve inserir um novo livro com sucesso",""
"skipped","Mon Nov 21 22:59:38 GMT 2022","Mon Nov 21 22:59:38 GMT 2022","0","","Testes de integração - Livros - Antes de correções","","com.peixoto.api.BookIntegrationTest","t2","t2()",""
"passed","Mon Nov 21 22:58:57 GMT 2022","Mon Nov 21 22:58:57 GMT 2022","10","","Testes de unidade - Book Service","","com.peixoto.api.services.BookServiceTest","findById_shouldThrowBadRequestException","Deve lançar exceção ao buscar um livro que não existe",""
"skipped","Mon Nov 21 22:59:38 GMT 2022","Mon Nov 21 22:59:38 GMT 2022","0","","Testes de integração - Livros - Antes de correções","","com.peixoto.api.BookIntegrationTest","t3","t3()",""
