"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 19 02:53:02 GMT 2022","Sat Nov 19 02:53:02 GMT 2022","50","","com.peixoto.api.BookIntegrationTest","","com.peixoto.api.BookIntegrationTest","t3","t3()",""
"passed","Sat Nov 19 02:52:56 GMT 2022","Sat Nov 19 02:52:59 GMT 2022","2899","","com.peixoto.api.BookIntegrationReviwedTest","","com.peixoto.api.BookIntegrationReviwedTest","t1","Deve buscar livro pelo id com sucesso",""
"passed","Sat Nov 19 02:53:02 GMT 2022","Sat Nov 19 02:53:02 GMT 2022","50","","com.peixoto.api.BookIntegrationTest","","com.peixoto.api.BookIntegrationTest","t2","t2()",""
"passed","Sat Nov 19 02:52:16 GMT 2022","Sat Nov 19 02:52:16 GMT 2022","4","","Book Service","","com.peixoto.api.services.BookServiceTest","findALL_shouldThrowException_whenThereIsNoBooks","Deve lançar exceção ao buscar livros (busca por todos)",""
"passed","Sat Nov 19 02:52:59 GMT 2022","Sat Nov 19 02:53:01 GMT 2022","1327","","com.peixoto.api.BookIntegrationReviwedTest","","com.peixoto.api.BookIntegrationReviwedTest","t2","Deve buscar todos os livros cadastrados com sucesso",""
"passed","Sat Nov 19 02:52:16 GMT 2022","Sat Nov 19 02:52:16 GMT 2022","203","","User Details Service","","com.peixoto.api.services.UserDetailServiceTest","loadUserByUsername_shouldReturnUsername","Deve retornar o usuário buscado",""
"passed","Sat Nov 19 02:52:16 GMT 2022","Sat Nov 19 02:52:16 GMT 2022","8","","Book Service","","com.peixoto.api.services.BookServiceTest","findById_shouldThrowBadRequestException","Deve lançar exceção ao buscar um livro que não existe",""
"passed","Sat Nov 19 02:52:16 GMT 2022","Sat Nov 19 02:52:16 GMT 2022","4","","User Details Service","","com.peixoto.api.services.UserDetailServiceTest","loadUserByUsername_shouldThrowUsernameNotFoundException","Deve lançar exceção caso o usuário procurado não existir",""
"passed","Sat Nov 19 02:53:01 GMT 2022","Sat Nov 19 02:53:02 GMT 2022","1229","","com.peixoto.api.BookIntegrationReviwedTest","","com.peixoto.api.BookIntegrationReviwedTest","t3","Deve inserir um novo livro com sucesso",""
"passed","Sat Nov 19 02:52:15 GMT 2022","Sat Nov 19 02:52:16 GMT 2022","1150","","Book Service","","com.peixoto.api.services.BookServiceTest","remove_shouldThrowException_whenBookNotExists","Deve lançar exceção ao tentar remover livro que não existe",""
"passed","Sat Nov 19 02:52:16 GMT 2022","Sat Nov 19 02:52:16 GMT 2022","27","","Book Service","","com.peixoto.api.services.BookServiceTest","findALL_shouldReturnAllBooks","Deve retornar todos os livros",""
"passed","Sat Nov 19 02:52:16 GMT 2022","Sat Nov 19 02:52:16 GMT 2022","5","","Book Service","","com.peixoto.api.services.BookServiceTest","remove_shouldRemoveBook","Deve remover livro com sucesso",""
"passed","Sat Nov 19 02:53:02 GMT 2022","Sat Nov 19 02:53:02 GMT 2022","73","","com.peixoto.api.BookIntegrationTest","","com.peixoto.api.BookIntegrationTest","t1","t1()",""
